,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
872,frozenset({'JUMBO BAG PINK POLKADOT'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.06102204408817635,0.10465931863727455,0.04133266533066132,0.6773399014778325,6.4718546833401325,0.03494613977453906,2.77487264605547
599,frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.05075150300601202,0.053356713426853705,0.03842685370741483,0.75715695952616,14.190472217973854,0.03571892030554094,3.8981693060918605
600,frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.053356713426853705,0.05075150300601202,0.03842685370741483,0.7201877934272302,14.190472217973856,0.03571892030554094,3.3924484875791863
416,frozenset({'JUMBO STORAGE BAG SUKI'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.0593186372745491,0.10465931863727455,0.03627254509018036,0.6114864864864864,5.842637755036031,0.030064296930534414,2.304529058116232
837,frozenset({'JUMBO SHOPPER VINTAGE RED PAISLEY'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.05886773547094189,0.10465931863727455,0.03406813627254509,0.5787234042553191,5.529592699347137,0.027907079188436993,2.1253036375781864
88,frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.06377755511022044,0.07835671342685371,0.03211422845691383,0.5035349567949725,6.426187811782385,0.027116828848076917,1.8564112402019228
747,frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.04909819639278557,0.052655310621242485,0.03206412825651302,0.6530612244897959,12.402570923707255,0.029478847474508133,2.730581751738771
746,frozenset({'ALARM CLOCK BAKELIKE RED '}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.052655310621242485,0.04909819639278557,0.03206412825651302,0.6089438629876308,12.402570923707255,0.029478847474508133,2.431624806791198
650,frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.05075150300601202,0.03832665330661322,0.031663326653306616,0.6238894373149063,16.27821329255625,0.029718191392805654,2.5568900267727064
649,frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.03832665330661322,0.05075150300601202,0.031663326653306616,0.8261437908496734,16.278213292556252,0.029718191392805654,5.459963159401515
